section_name,n_tasks
Design,24
Untitled section,17
Animation & Graphic Design,11
Pre-Production,10
Traditional Media Totals (per 1 video),7
Production,7
Design Development,6
XR & Interactives,5
Post-Project Evaluation,5
Analysis,4
Post-Production,4
