project_gid,name,logged_hours,n_entries,entry_first,entry_last,n_authors,n_tasks,n_completed,task_completed_first,task_completed_last,pct_activity_in_tracked_window,coverage,is_course_dev,evidence
1208344673489500,MSAN Asset Spreadsheet,15.12,9,2025-02-11,2025-02-14,1,27,27,2025-01-23,2025-04-28,1.0,partial,True,"all 9 entries in 1 calendar month vs task activity span 95d (one-off logging, not habitual)"
1207816481565083,Gen Chem Intro Video,13.5,4,2024-08-19,2024-08-20,1,10,10,2024-08-07,2024-08-21,0.4,minimal,True,"logged_hours=13.5, n_entries=4 (<5h or <5 entries) -> unusable as project total"
1212638027964018,Ultrasound Communication Video,12.75,14,2026-03-13,2026-06-01,2,51,2,2026-04-30,2026-06-01,1.0,full,True,100% of completions in tracked window; 14 entries across 4 months (2026-03-13..2026-06-01) = habitual cadence
1212627165986472,Borgo Laudato Si' videos,12.0,8,2026-02-02,2026-05-04,1,32,7,2026-03-30,2026-05-06,1.0,full,True,100% of completions in tracked window; 8 entries across 4 months (2026-02-02..2026-05-04) = habitual cadence
1213478777903328,Media Studio Sessions,9.25,5,2026-01-28,2026-03-25,1,1,0,,,,partial,False,no completed_at dates for tasks; cannot confirm window coverage (n_completed=0)
1212638028070139,CIF Video,9.0,3,2026-04-16,2026-04-29,2,21,14,2026-04-29,2026-04-29,1.0,minimal,True,"logged_hours=9.0, n_entries=3 (<5h or <5 entries) -> unusable as project total"
1209243150458199,PIE Video #3,8.0,5,2025-01-29,2025-03-26,2,28,15,2025-01-27,2025-04-30,1.0,full,True,100% of completions in tracked window; 5 entries across 3 months (2025-01-29..2025-03-26) = habitual cadence
1208014741125322,MSAN,8.0,6,2025-02-14,2025-04-25,2,60,60,2024-08-09,2025-08-18,0.7667,partial,True,77% of completions in tracked window (pre-2024-08-19 activity undercounted); logging window 70d covers only part of activity span 374d (n_completed=60)
1214795652576790,Maximizing Mendoza,6.5,5,2026-05-19,2026-05-21,1,36,4,2026-05-13,2026-05-13,1.0,full,True,100% of completions in tracked window; 5 entries across 1 months (2026-05-19..2026-05-21) = habitual cadence
1211900373500710,I CAN HELP Learning Modules,6.0,4,2025-12-03,2026-01-22,1,21,9,2025-10-16,2026-01-22,1.0,minimal,True,"logged_hours=6.0, n_entries=4 (<5h or <5 entries) -> unusable as project total"
1207817115500019,Equity XR,6.0,3,2025-02-12,2025-03-21,1,13,13,2024-10-07,2025-04-02,1.0,minimal,True,"logged_hours=6.0, n_entries=3 (<5h or <5 entries) -> unusable as project total"
1209419538333955,Insect Podcast Consult,5.17,12,2025-02-19,2025-04-07,1,25,13,2025-02-19,2025-04-05,1.0,full,True,100% of completions in tracked window; 12 entries across 3 months (2025-02-19..2025-04-07) = habitual cadence
1211489930659695,MS-ACMS Faculty Videos,5.0,2,2025-10-28,2025-10-29,1,25,25,2025-09-29,2025-12-15,1.0,minimal,True,"logged_hours=5.0, n_entries=2 (<5h or <5 entries) -> unusable as project total"
1211360177216098,Summer Online 2026,5.0,2,2026-05-19,2026-05-21,1,2,0,,,,minimal,False,"logged_hours=5.0, n_entries=2 (<5h or <5 entries) -> unusable as project total"
1209741238247552,Political Science SO Course,4.42,11,2025-03-21,2025-04-10,1,35,5,2025-03-21,2025-04-24,1.0,minimal,True,"logged_hours=4.42, n_entries=11 (<5h or <5 entries) -> unusable as project total"
1209213189516064,ASCEND Engineering II,3.5,1,2025-01-24,2025-01-24,1,32,3,2025-01-24,2025-02-10,1.0,minimal,True,"logged_hours=3.5, n_entries=1 (<5h or <5 entries) -> unusable as project total"
1207728646024488,AI Video Series,3.0,4,2024-08-30,2024-08-30,1,76,76,2024-07-05,2024-11-04,0.3816,minimal,True,"logged_hours=3.0, n_entries=4 (<5h or <5 entries) -> unusable as project total"
1208335646825701,Michael's PM Tasks,2.75,3,2025-01-13,2025-01-13,1,27,7,2024-09-18,2024-09-18,1.0,minimal,False,"logged_hours=2.75, n_entries=3 (<5h or <5 entries) -> unusable as project total"
1208031566113859,FCTA - Calculus I,2.75,4,2025-07-10,2025-07-18,1,11,5,2024-09-06,2025-07-11,1.0,minimal,True,"logged_hours=2.75, n_entries=4 (<5h or <5 entries) -> unusable as project total"
1207984230724068,Summer Online 2025,1.5,8,2025-01-24,2025-03-02,1,20,8,2025-02-04,2025-03-14,1.0,minimal,False,"logged_hours=1.5, n_entries=8 (<5h or <5 entries) -> unusable as project total"
1209897970646083,Multimedia Writing and Rhetoric,1.25,3,2025-03-24,2025-04-14,1,21,17,2025-06-09,2025-06-27,1.0,minimal,True,"logged_hours=1.25, n_entries=3 (<5h or <5 entries) -> unusable as project total"
1210225716846547,Sprint 2025 - VR in Global Health Training - Elizabeth Wood,1.0,1,2025-07-10,2025-07-10,1,30,8,2025-06-23,2025-07-13,1.0,minimal,True,"logged_hours=1.0, n_entries=1 (<5h or <5 entries) -> unusable as project total"
1209877147787619,Study Abroad,1.0,1,2025-07-10,2025-07-10,1,28,24,2025-06-20,2025-08-14,1.0,minimal,True,"logged_hours=1.0, n_entries=1 (<5h or <5 entries) -> unusable as project total"
1207760971753765,XR Spanish Escape Room,1.0,1,2025-01-27,2025-01-27,1,21,15,2024-07-15,2024-12-09,0.6,minimal,True,"logged_hours=1.0, n_entries=1 (<5h or <5 entries) -> unusable as project total"
1207473416887601,Sprint: Interactive (Elena),1.0,1,2024-08-30,2024-08-30,1,14,11,2024-06-03,2024-09-09,0.6364,minimal,True,"logged_hours=1.0, n_entries=1 (<5h or <5 entries) -> unusable as project total"
1209484413612062,ECG Videos,0.42,2,2025-02-24,2025-03-03,1,33,2,2025-03-03,2025-03-14,1.0,minimal,True,"logged_hours=0.42, n_entries=2 (<5h or <5 entries) -> unusable as project total"
