project_gid,project_name,task_gid,task_name,section,canonical_phase,completed,created_at,completed_at,assignee,num_subtasks,resource_subtype,tracked_minutes,n_activity,n_comments,task_custom_fields
1205095744696654,ACE Ascent Phase II,1205096111292861,Bri to review course map before kick-off,Design Ratio and Proportion,Design Ratio and Proportion,True,2023-07-19T19:39:14.287Z,2023-07-19T19:39:14.285Z,,0,default_task,0.0,0,0,"{""Phase"": ""Design"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205096111292871,Team to complete subtopics and objectives ,Design Ratio and Proportion,Design Ratio and Proportion,True,2023-07-19T19:39:14.999Z,2023-07-19T19:39:14.998Z,,0,default_task,0.0,0,0,"{""Phase"": ""Design"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205096111149814,Design meeting - review topics and module objectives,Design Ratio and Proportion,Design Ratio and Proportion,True,2023-07-19T19:39:09.669Z,2023-07-19T19:39:09.667Z,,0,default_task,0.0,0,0,"{""Phase"": ""Design"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205096111292881,Meeting to discuss media assets in course map,Design Ratio and Proportion,Design Ratio and Proportion,True,2023-07-19T19:39:15.636Z,2023-07-19T19:39:15.635Z,,0,default_task,0.0,0,0,"{""Phase"": ""Design"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1206028593445623,Course build,Design Ratio and Proportion,Design Ratio and Proportion,True,2023-11-27T18:03:48.473Z,2023-12-14T18:49:30.246Z,,9,default_task,0.0,0,0,"{""Phase"": ""Design"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205979305836071,Meeting to review final build,Design Ratio and Proportion,Design Ratio and Proportion,True,2023-11-17T17:56:09.299Z,2023-12-19T18:43:59.686Z,,0,default_task,0.0,0,0,"{""Phase"": ""Design"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205095744696750,Determine creative treatment,Pre-Production Ratio and Proportion,Pre-Production Ratio and Proportion,True,2023-07-19T20:03:32.091Z,2023-10-19T15:28:11.221Z,,0,default_task,0.0,0,0,"{""Phase"": ""Pre-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205096111373371,Scripting,Pre-Production Ratio and Proportion,Pre-Production Ratio and Proportion,True,2023-07-19T19:39:15.877Z,2023-10-19T15:29:48.623Z,,0,default_task,0.0,0,0,"{""Phase"": ""Pre-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205096111373376,Booking / Permits / Travel,Pre-Production Ratio and Proportion,Pre-Production Ratio and Proportion,True,2023-07-19T19:39:16.112Z,2023-10-19T15:29:44.415Z,,0,default_task,0.0,0,0,"{""Phase"": ""Pre-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
1205095744696654,ACE Ascent Phase II,1205096149364528,MILESTONE: Preproduction Complete,Pre-Production Ratio and Proportion,Pre-Production Ratio and Proportion,True,2023-07-19T19:39:19.961Z,2023-10-19T15:30:15.642Z,,0,milestone,0.0,0,0,"{""Phase"": ""Pre-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""R+P""}"
