project_gid,project_name,canonical_phase,n_tasks,n_completed,n_assignees,first_completed,last_completed,span_days,tracked_minutes,tracked_hours,total_subtasks,n_activity,n_comments,bulk_created_fraction
1209213189516064,ASCEND Engineering II,Post-Production,1,0,0,,,,0.0,0.0,0,0,0,1.0
1209213189516064,ASCEND Engineering II,Post-Project Evaluation,4,0,1,,,,0.0,0.0,0,0,0,0.25
1209213189516064,ASCEND Engineering II,Pre-Production,6,0,1,,,,0.0,0.0,0,0,0,0.17
1209213189516064,ASCEND Engineering II,Production,2,0,1,,,,0.0,0.0,0,0,0,0.5
1208659811898209,Ascent PDF Graphic,Untitled section,4,4,1,2024-11-04T13:58:03.794000+00:00,2024-11-06T21:01:02.955000+00:00,2,0.0,0.0,0,0,0,0.25
1208878713359035,Calc I Summer Online,Analysis,7,7,1,2025-01-19T20:18:35.105000+00:00,2025-02-10T13:09:52.680000+00:00,22,0.0,0.0,0,0,0,0.14
1208878713359035,Calc I Summer Online,Design,14,14,2,2025-05-13T14:40:47.347000+00:00,2025-05-13T14:41:46.407000+00:00,0,0.0,0.0,25,0,0,0.07
1208878713359035,Calc I Summer Online,Launch / Post-Launch,5,4,2,2025-06-29T18:31:04.514000+00:00,2025-07-09T15:57:56.759000+00:00,10,0.0,0.0,0,0,0,0.2
1208878713359035,Calc I Summer Online,PM Time Tracking,22,22,1,2025-02-04T13:28:56.664000+00:00,2025-06-29T18:32:26.817000+00:00,145,850.0,14.17,0,0,0,0.05
1208878713359035,Calc I Summer Online,Post-Production / Design Development,28,3,3,2025-05-21T16:20:12.307000+00:00,2025-06-29T18:32:48.509000+00:00,39,100.0,1.67,3,0,0,0.04
1208878713359035,Calc I Summer Online,Pre-Production,8,3,2,2025-01-24T17:46:12.876000+00:00,2025-05-13T14:41:51.155000+00:00,109,0.0,0.0,6,0,0,0.12
1208878713359035,Calc I Summer Online,Production,1,1,1,2025-05-19T17:59:16.553000+00:00,2025-05-19T17:59:16.553000+00:00,0,0.0,0.0,0,0,0,1.0
1206363761761978,Carbon Neutral,Benchmarking,4,1,0,2024-04-25T15:12:54.982000+00:00,2024-04-25T15:12:54.982000+00:00,0,0.0,0.0,4,0,0,0.25
1206363761761978,Carbon Neutral,"Lesson 1: Terps, Quays, and Green Open Spaces",5,5,2,2024-04-04T14:12:51.097000+00:00,2024-04-25T15:20:36.169000+00:00,21,0.0,0.0,9,0,0,0.2
1206363761761978,Carbon Neutral,Lesson 2: Energy Efficient Design and Construction,5,4,3,2024-02-16T02:13:49.534000+00:00,2024-04-25T15:25:37.792000+00:00,69,0.0,0.0,11,0,0,0.2
1206363761761978,Carbon Neutral,Lesson 3: Sustainable Building Material,5,5,2,2024-03-11T16:11:28.948000+00:00,2024-04-25T15:20:52.022000+00:00,45,0.0,0.0,10,0,0,0.2
1206363761761978,Carbon Neutral,Lesson 4: Efficient and Renewable Energy Supply ,5,4,2,2024-02-16T02:13:56.479000+00:00,2024-04-25T15:26:06.810000+00:00,69,0.0,0.0,13,0,0,0.2
1206363761761978,Carbon Neutral,Lesson 5: Low Carbon Transportation / Diverse Mobility Methods,5,5,3,2024-03-14T12:44:06.290000+00:00,2024-04-25T15:21:09.019000+00:00,42,0.0,0.0,9,0,0,0.2
1206363761761978,Carbon Neutral,Media Pre-Production,3,3,3,2024-02-12T20:04:16.557000+00:00,2024-04-04T14:12:35.736000+00:00,52,0.0,0.0,6,0,0,0.33
1206363761761978,Carbon Neutral,Memory Palace: Interscene Environment,5,5,2,2024-02-08T14:07:41.745000+00:00,2024-04-25T15:13:28.900000+00:00,77,0.0,0.0,15,0,0,0.2
1204789220328740,College BouND,To do,3,2,1,2023-06-08T18:59:11.377000+00:00,2023-06-08T18:59:11.870000+00:00,0,0.0,0.0,0,0,0,0.33
1209111135522151,Commonalities in the Modern Irish and Jewish Experiences,Analysis,3,0,1,,,,0.0,0.0,0,0,0,0.33
1209111135522151,Commonalities in the Modern Irish and Jewish Experiences,Design,4,0,1,,,,0.0,0.0,0,0,0,0.25
1209111135522151,Commonalities in the Modern Irish and Jewish Experiences,Design Development,1,0,1,,,,0.0,0.0,0,0,0,1.0
1209111135522151,Commonalities in the Modern Irish and Jewish Experiences,Post-Production,1,0,1,,,,0.0,0.0,0,0,0,1.0
1209111135522151,Commonalities in the Modern Irish and Jewish Experiences,Post-Project Evaluation,4,0,1,,,,0.0,0.0,0,0,0,0.25
1209111135522151,Commonalities in the Modern Irish and Jewish Experiences,Pre-Production,5,0,1,,,,0.0,0.0,0,0,0,0.2
1209111135522151,Commonalities in the Modern Irish and Jewish Experiences,Production,1,0,1,,,,0.0,0.0,0,0,0,1.0
1206006474289122,Creative Asset Feedback & Approval,Approved,1,0,0,,,,0.0,0.0,0,0,0,1.0
1206006474289122,Creative Asset Feedback & Approval,In Production,1,0,0,,,,0.0,0.0,0,0,0,1.0
1206006474289122,Creative Asset Feedback & Approval,In Review,1,0,0,,,,0.0,0.0,0,0,0,1.0
1206006474289122,Creative Asset Feedback & Approval,Template instructions,2,0,0,,,,0.0,0.0,14,0,0,0.5
1204818761552639,DX Course Design,To do,8,0,0,,,,0.0,0.0,0,0,0,0.12
1211080311286428,Diction App,Analysis,3,0,0,,,,0.0,0.0,0,0,0,0.33
1211080311286428,Diction App,Design,10,0,0,,,,0.0,0.0,0,0,0,0.1
1211080311286428,Diction App,Design Development,5,0,0,,,,0.0,0.0,0,0,0,0.2
1211080311286428,Diction App,Post-Production,1,0,0,,,,0.0,0.0,0,0,0,1.0
1211080311286428,Diction App,Post-Project Evaluation,4,0,0,,,,0.0,0.0,0,0,0,0.25
1211080311286428,Diction App,Pre-Production,6,0,0,,,,0.0,0.0,0,0,0,0.17
1211080311286428,Diction App,Production,2,0,0,,,,0.0,0.0,0,0,0,0.5
1207817115500015,EIH Lab Video Series ,Video 1: Safety Walkthrough,10,10,2,2024-07-25T02:44:18.792000+00:00,2024-09-30T13:18:21.631000+00:00,67,2640.0,44.0,3,0,0,0.1
1207817115500015,EIH Lab Video Series ,Video 2: Bandsaw,10,10,2,2024-07-25T02:47:57.257000+00:00,2024-09-27T14:59:33.859000+00:00,64,480.0,8.0,3,0,0,0.1
1207817115500015,EIH Lab Video Series ,Video 3: Drill Press,10,10,2,2024-07-25T02:47:58.695000+00:00,2024-10-01T14:47:31.024000+00:00,68,600.0,10.0,3,0,0,0.1
1207817115500015,EIH Lab Video Series ,Video 4:  Belt & Disc Sander,10,1,0,2024-10-23T13:13:39.114000+00:00,2024-10-23T13:13:39.114000+00:00,0,60.0,1.0,0,0,0,0.1
1207817115500015,EIH Lab Video Series ,Video 5: Scheduling,10,1,0,2024-10-25T12:05:38.802000+00:00,2024-10-25T12:05:38.802000+00:00,0,120.0,2.0,0,0,0,0.1
1207817115500015,EIH Lab Video Series ,Video 6: Hand & Power Tools,10,0,0,,,,0.0,0.0,0,0,0,0.1
1207817115500019,Equity XR ,Post-Production,9,9,1,2024-10-07T14:01:32.702000+00:00,2025-01-10T18:56:20.787000+00:00,95,0.0,0.0,0,0,0,0.11
1207817115500019,Equity XR ,Workshops,4,4,0,2025-03-21T17:25:55.230000+00:00,2025-04-02T16:44:01.886000+00:00,12,360.0,6.0,0,0,0,0.25
1207817115500023,Innovation and Design Thinking XR,Post Production,9,9,0,2024-08-22T18:05:06.425000+00:00,2024-10-07T17:38:34+00:00,46,0.0,0.0,0,0,0,0.11
1207817115500023,Innovation and Design Thinking XR,Regroup,2,2,1,2024-08-14T23:21:26.008000+00:00,2024-08-15T20:09:54.212000+00:00,1,0.0,0.0,0,0,0,0.5
1207817115500023,Innovation and Design Thinking XR,Untitled section,1,1,1,2024-10-04T13:35:16.429000+00:00,2024-10-04T13:35:16.429000+00:00,0,0.0,0.0,0,0,0,1.0
1209419538333955,Insect Podcast Consult,Analysis,1,1,1,2025-02-19T15:54:04.769000+00:00,2025-02-19T15:54:04.769000+00:00,0,0.0,0.0,0,0,0,1.0
1209419538333955,Insect Podcast Consult,Design,2,0,1,,,,0.0,0.0,0,0,0,0.5
1209419538333955,Insect Podcast Consult,Design Development,1,0,1,,,,0.0,0.0,0,0,0,1.0
1209419538333955,Insect Podcast Consult,PM Time Tracking,8,8,1,2025-02-19T16:18:41.112000+00:00,2025-04-05T19:45:17.666000+00:00,45,310.0,5.17,0,0,0,0.12
1209419538333955,Insect Podcast Consult,Post-Production,2,2,1,2025-03-27T16:21:02.329000+00:00,2025-03-27T16:21:03.114000+00:00,0,0.0,0.0,0,0,0,0.5
1209419538333955,Insect Podcast Consult,Post-Project Evaluation,4,0,1,,,,0.0,0.0,0,0,0,0.25
1209419538333955,Insect Podcast Consult,Pre-Production,5,0,1,,,,0.0,0.0,0,0,0,0.2
1209419538333955,Insect Podcast Consult,Production,2,2,1,2025-03-27T16:21:00.189000+00:00,2025-03-27T16:21:00.816000+00:00,0,0.0,0.0,0,0,0,0.5
1208014741125322,MSAN,Analysis,15,15,4,2024-08-09T21:00:52.095000+00:00,2025-08-18T20:20:45.594000+00:00,374,0.0,0.0,0,0,0,0.07
1208014741125322,MSAN,Design,17,17,2,2024-08-15T15:02:57.970000+00:00,2025-01-29T19:51:47.290000+00:00,167,0.0,0.0,34,0,0,0.06
1208014741125322,MSAN,Design Development,6,6,2,2025-03-10T19:49:49.884000+00:00,2025-08-18T20:24:29.083000+00:00,161,90.0,1.5,4,0,0,0.17
1208014741125322,MSAN,Launch / Post-Launch,5,5,0,2025-08-18T20:24:16.177000+00:00,2025-08-18T20:24:19.804000+00:00,0,0.0,0.0,0,0,0,0.2
1208014741125322,MSAN,Post-Production / Design Development,5,5,2,2025-02-17T19:09:22.866000+00:00,2025-03-10T19:49:45.160000+00:00,21,390.0,6.5,2,0,0,0.2
1208014741125322,MSAN,Pre-Production,9,9,2,2024-09-18T18:41:58.763000+00:00,2024-11-13T18:29:27.099000+00:00,56,0.0,0.0,6,0,0,0.11
1208014741125322,MSAN,Production,3,3,2,2025-01-24T16:38:17.280000+00:00,2025-02-18T14:13:02.936000+00:00,25,0.0,0.0,4,0,0,0.33
1208335647365608,MSAN II,Analysis,6,6,1,2024-10-25T12:41:21.984000+00:00,2025-01-27T03:45:03.557000+00:00,94,0.0,0.0,0,0,0,0.17
1208335647365608,MSAN II,Design,8,8,3,2024-12-09T05:04:30.113000+00:00,2025-03-25T12:41:16.025000+00:00,106,435.0,7.25,2,0,0,0.12
1208335647365608,MSAN II,Design Development,6,1,2,2025-07-10T16:24:43.673000+00:00,2025-07-10T16:24:43.673000+00:00,0,60.0,1.0,23,0,0,0.17
1208335647365608,MSAN II,Launch / Post-Launch,5,0,0,,,,0.0,0.0,0,0,0,0.2
1208335647365608,MSAN II,Post-Production / Design Development,5,4,2,2025-08-15T15:02:49.127000+00:00,2025-08-15T15:03:20.977000+00:00,0,960.0,16.0,9,0,0,0.2
1208335647365608,MSAN II,Pre-Production,6,5,2,2025-02-06T20:53:02.388000+00:00,2025-06-23T20:11:51.853000+00:00,137,410.0,6.83,1,0,0,0.17
1208335647365608,MSAN II,Production,4,2,3,2025-07-14T17:23:21.164000+00:00,2025-08-15T15:03:41.167000+00:00,32,2400.0,40.0,0,0,0,0.25
1209897970646083,Multimedia Writing and Rhetoric,Analysis,3,3,1,2025-06-23T18:23:06.656000+00:00,2025-06-23T20:03:29.764000+00:00,0,0.0,0.0,0,0,0,0.33
1209897970646083,Multimedia Writing and Rhetoric,Post-Production,8,8,1,2025-06-11T15:47:40.922000+00:00,2025-06-27T11:22:54.594000+00:00,16,0.0,0.0,0,0,0,0.12
1209897970646083,Multimedia Writing and Rhetoric,Post-Project Evaluation,4,0,0,,,,0.0,0.0,0,0,0,0.25
1209897970646083,Multimedia Writing and Rhetoric,Pre-Production,5,5,1,2025-06-23T20:11:16.770000+00:00,2025-06-23T20:11:25.713000+00:00,0,75.0,1.25,5,0,0,0.2
1209897970646083,Multimedia Writing and Rhetoric,Production,1,1,1,2025-06-09T14:08:26.682000+00:00,2025-06-09T14:08:26.682000+00:00,0,0.0,0.0,0,0,0,1.0
1207760971753720,NDIAS Teaching Fellows - Global Catholicism,Untitled section,1,1,0,2025-02-03T14:28:43.527000+00:00,2025-02-03T14:28:43.527000+00:00,0,0.0,0.0,0,0,0,1.0
1208659811898324,ODL Lookbook,Untitled section,4,4,1,2024-11-15T15:30:13.009000+00:00,2025-05-15T14:43:08.312000+00:00,181,1337.0,22.28,0,0,0,0.25
1209243150458199,PIE Video #3,Analysis,4,1,2,2025-01-27T14:42:53.431000+00:00,2025-01-27T14:42:53.431000+00:00,0,30.0,0.5,0,0,0,0.25
1209243150458199,PIE Video #3,Post-Production,10,8,2,2025-04-30T11:55:01.160000+00:00,2025-04-30T11:55:10.603000+00:00,0,0.0,0.0,0,0,0,0.1
1209243150458199,PIE Video #3,Post-Project Evaluation,4,0,1,,,,0.0,0.0,0,0,0,0.25
1209243150458199,PIE Video #3,Pre-Production,7,5,2,2025-03-26T18:49:30.802000+00:00,2025-03-26T18:49:35.870000+00:00,0,90.0,1.5,0,0,0,0.14
1209243150458199,PIE Video #3,Production,3,1,3,2025-03-26T18:49:28.677000+00:00,2025-03-26T18:49:28.677000+00:00,0,360.0,6.0,0,0,0,0.33
1208875960377620,Program for Inclusive Education (PIE) Video #2,Video 2 - Lessons From the Saints,12,11,2,2025-01-10T18:56:03.992000+00:00,2025-02-06T19:23:48.006000+00:00,27,930.0,15.5,0,0,0,0.08
1208981515547171,Radio Systems MVP,Delivery,6,6,0,2025-03-01T02:52:54.824000+00:00,2025-03-05T19:39:40.320000+00:00,4,60.0,1.0,2,0,0,0.17
1208981515547171,Radio Systems MVP,PM Time Tracking,9,9,1,2025-02-04T13:37:34.833000+00:00,2025-03-14T15:15:25.689000+00:00,38,565.0,9.42,0,0,0,0.11
1208981515547171,Radio Systems MVP,Post-Production,8,8,1,2025-03-01T00:34:58.692000+00:00,2025-03-01T00:37:17.974000+00:00,0,2445.0,40.75,32,0,0,0.12
1208981515547171,Radio Systems MVP,Pre-Production,3,3,0,2025-02-14T21:11:41.115000+00:00,2025-02-14T21:14:05.181000+00:00,0,540.0,9.0,5,0,0,0.33
1208981515547171,Radio Systems MVP,Production,4,4,0,2025-02-07T17:49:55.964000+00:00,2025-02-17T22:21:52.971000+00:00,10,240.0,4.0,0,0,0,0.25
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,Analysis,3,3,1,2025-05-19T13:21:49.623000+00:00,2025-06-17T19:56:03.457000+00:00,29,0.0,0.0,0,0,0,0.33
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,Design,8,7,2,2025-07-11T20:13:52.870000+00:00,2025-08-11T13:08:25.893000+00:00,31,780.0,13.0,0,0,0,0.12
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,Design Development,5,0,2,,,,360.0,6.0,0,0,0,0.2
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,Post-Production,2,0,0,,,,0.0,0.0,0,0,0,0.5
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,Post-Project Evaluation,4,0,1,,,,0.0,0.0,0,0,0,0.25
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,Pre-Production,3,3,0,2025-08-11T13:08:07.932000+00:00,2025-08-11T13:08:09.760000+00:00,0,0.0,0.0,0,0,0,0.33
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,Production,2,0,1,,,,30.0,0.5,0,0,0,0.5
1210225716846536,Sprint 2025 - Digital Accessibility - Whitney James,Analysis,3,3,1,2025-06-09T20:24:38.328000+00:00,2025-06-23T13:19:31.304000+00:00,14,180.0,3.0,0,0,0,0.33
1210225716846536,Sprint 2025 - Digital Accessibility - Whitney James,Design,11,6,2,2025-05-16T14:07:47.878000+00:00,2025-07-03T16:44:59.206000+00:00,48,240.0,4.0,1,0,0,0.09
1210225716846536,Sprint 2025 - Digital Accessibility - Whitney James,Design Development,7,2,2,2025-07-27T22:39:56.475000+00:00,2025-07-27T22:39:57.002000+00:00,0,2265.0,37.75,0,0,0,0.14
1210225716846536,Sprint 2025 - Digital Accessibility - Whitney James,Post-Production,1,0,0,,,,0.0,0.0,0,0,0,1.0
1210225716846536,Sprint 2025 - Digital Accessibility - Whitney James,Post-Project Evaluation,4,0,1,,,,0.0,0.0,0,0,0,0.25
1210225716846536,Sprint 2025 - Digital Accessibility - Whitney James,Pre-Production,6,1,1,2025-07-27T22:39:49.164000+00:00,2025-07-27T22:39:49.164000+00:00,0,270.0,4.5,0,0,0,0.17
1210225716846536,Sprint 2025 - Digital Accessibility - Whitney James,Production,2,0,1,,,,0.0,0.0,0,0,0,0.5
1210225716846547,Sprint 2025 - VR in Global Health Training - Elizabeth Wood,Analysis,3,3,1,2025-06-23T17:02:06.579000+00:00,2025-06-23T17:02:07.868000+00:00,0,0.0,0.0,0,0,0,0.33
1210225716846547,Sprint 2025 - VR in Global Health Training - Elizabeth Wood,Design,9,5,3,2025-07-13T03:32:45.310000+00:00,2025-07-13T03:32:47.966000+00:00,0,0.0,0.0,0,0,0,0.11
1210225716846547,Sprint 2025 - VR in Global Health Training - Elizabeth Wood,Design Development,5,0,1,,,,0.0,0.0,0,0,0,0.2
1210225716846547,Sprint 2025 - VR in Global Health Training - Elizabeth Wood,Post-Production,1,0,1,,,,0.0,0.0,0,0,0,1.0
1210225716846547,Sprint 2025 - VR in Global Health Training - Elizabeth Wood,Post-Project Evaluation,4,0,1,,,,0.0,0.0,0,0,0,0.25
1210225716846547,Sprint 2025 - VR in Global Health Training - Elizabeth Wood,Pre-Production,6,0,2,,,,0.0,0.0,0,0,0,0.17
1210225716846547,Sprint 2025 - VR in Global Health Training - Elizabeth Wood,Production,2,0,2,,,,60.0,1.0,0,0,0,0.5
1210202036254627,Sprint 2025: Lab Prep: Visualizing Success,Analysis,3,3,1,2025-05-15T14:02:18.680000+00:00,2025-06-16T19:47:46.283000+00:00,32,0.0,0.0,0,0,0,0.33
1210202036254627,Sprint 2025: Lab Prep: Visualizing Success,Design,5,3,3,2025-06-20T19:24:54.429000+00:00,2025-07-30T11:26:49.645000+00:00,40,0.0,0.0,0,0,0,0.2
1210202036254627,Sprint 2025: Lab Prep: Visualizing Success,Design Development,3,3,2,2025-08-14T17:01:09.135000+00:00,2025-08-14T17:01:15.142000+00:00,0,240.0,4.0,0,0,0,0.33
1210202036254627,Sprint 2025: Lab Prep: Visualizing Success,PM Time Tracking: Lawrence,7,7,1,2025-05-18T18:39:17.249000+00:00,2025-06-29T18:27:51.585000+00:00,42,695.0,11.58,0,0,0,0.14
1210202036254627,Sprint 2025: Lab Prep: Visualizing Success,Post-Production,9,9,1,2025-07-25T15:41:54.010000+00:00,2025-08-04T12:35:45.879000+00:00,10,2130.0,35.5,0,0,0,0.11
1210202036254627,Sprint 2025: Lab Prep: Visualizing Success,Post-Project Evaluation,4,4,1,2025-08-14T17:01:31.384000+00:00,2026-01-02T20:00:41.686000+00:00,141,0.0,0.0,0,0,0,0.25
1210202036254627,Sprint 2025: Lab Prep: Visualizing Success,Pre-Production,5,3,1,2025-06-20T19:25:56.853000+00:00,2025-08-14T17:06:08.739000+00:00,55,0.0,0.0,0,0,0,0.2
1210202036254627,Sprint 2025: Lab Prep: Visualizing Success,Production,3,3,2,2025-07-21T14:14:27.354000+00:00,2025-08-14T17:01:02.472000+00:00,24,960.0,16.0,0,0,0,0.33
1209877147787619,Study Abroad,Analysis,5,4,2,2025-06-20T21:22:35.088000+00:00,2025-06-30T14:16:53.840000+00:00,10,0.0,0.0,3,0,0,0.2
1209877147787619,Study Abroad,Content Redesign,9,8,2,2025-06-20T21:24:01.839000+00:00,2025-07-25T20:19:08.250000+00:00,35,60.0,1.0,0,0,0,0.11
1209877147787619,Study Abroad,Design Development,3,3,1,2025-07-25T20:18:29.207000+00:00,2025-08-01T19:07:06.486000+00:00,7,0.0,0.0,0,0,0,0.33
1209877147787619,Study Abroad,Post-Production,3,3,1,2025-07-25T13:09:28.610000+00:00,2025-07-25T20:17:57.039000+00:00,0,0.0,0.0,0,0,0,0.33
1209877147787619,Study Abroad,Post-Project Evaluation,4,2,1,2025-08-01T19:07:19.202000+00:00,2025-08-01T19:07:35.498000+00:00,0,0.0,0.0,0,0,0,0.25
1209877147787619,Study Abroad,Usability Testing,4,4,1,2025-07-25T20:18:10.865000+00:00,2025-08-14T18:44:30.385000+00:00,20,0.0,0.0,0,0,0,0.25
1207984230724068,Summer Online 2025,Courses Begin,4,0,1,,,,0.0,0.0,3,0,0,0.25
1207984230724068,Summer Online 2025,PM Time Tracking,7,7,1,2025-02-04T13:51:53.509000+00:00,2025-03-14T12:46:58.185000+00:00,38,90.0,1.5,0,0,0,0.14
1207984230724068,Summer Online 2025,Post Evaluation,3,0,1,,,,0.0,0.0,0,0,0,0.33
1207984230724068,Summer Online 2025,Summer Online Prep,6,1,2,2025-03-02T14:27:31.342000+00:00,2025-03-02T14:27:31.342000+00:00,0,0.0,0.0,0,0,0,0.17
1205980079388145,Teaching Everyone,Design - Course Design & Development,11,11,2,2023-12-19T18:19:50.885000+00:00,2024-07-16T13:57:30.123000+00:00,210,0.0,0.0,21,0,0,0.09
1205980079388145,Teaching Everyone,Design - Interactives,3,3,1,2024-01-31T19:46:46.821000+00:00,2024-03-19T15:29:31.946000+00:00,48,0.0,0.0,14,0,0,0.33
