project_gid,project_name,canonical_phase,n_tasks,n_completed,n_assignees,first_completed,last_completed,span_days,tracked_minutes,tracked_hours,total_subtasks,n_activity,n_comments,bulk_created_fraction
1207967599155608,Online Pedagogy Course  ,Course Design,4,4,1,2024-12-20T15:03:30.625000+00:00,2025-01-10T15:45:38.634000+00:00,21,0.0,0.0,26,0,0,0.25
1207967599155608,Online Pedagogy Course  ,Course Development ,3,3,1,2025-03-10T19:52:49.973000+00:00,2025-03-10T19:52:51.893000+00:00,0,0.0,0.0,11,0,0,0.33
1207967599155608,Online Pedagogy Course  ,Course Planning,5,5,1,2024-08-02T22:14:53.557000+00:00,2024-09-13T13:59:54.325000+00:00,42,0.0,0.0,6,0,0,0.2
1207967599155608,Online Pedagogy Course  ,Media,6,6,1,2024-12-06T14:59:44.998000+00:00,2025-02-04T15:54:06.841000+00:00,60,2290.0,38.17,2,0,0,0.17
1207967599155608,Online Pedagogy Course  ,QA,2,2,1,2025-03-10T19:52:53.885000+00:00,2025-03-10T19:52:54.553000+00:00,0,0.0,0.0,0,0,0,0.5
